Segment Number,Start Longitude,Start Latitude,End Longitude,End Latitude, Location, Landmarks,Landmark long, Landmark lat, Description_new,Distance (km),Part, imagesPath,Description
40,-118.7608857,37.25303127,-122.2060291,41.29436795, Oregon thrugh Mount Hood National Forest, Mount Hood is an active vulcano and is considered the Oregon volcano most likely to erup,-121.56722,45.3217, Mount Hood is also known as Wy'east. It is an active stratovolcano. The summit elavation is 3.429 meter and has glaciers all year. Mount Hood is the highest peak in Oregon and is also visible from Portland. Surrounding this iconic peak is the Mount Hood Wilderness. Designated in 1964 and later expanded this wilderness area is a pristine part of the Cascade Range offering a rugged landscape dotted with alpine meadows clear mountain streams and dense old-growth forests. The area provides an extensive network of trails including a section of the Pacific Crest Trail and is renowned for its scenic beauty and recreational opportunities such as hiking; backpacking and climbing. , 83.2 km, Segment 40/50, Images/Segment40.jpg, Mount Hood is also known as Wy'east. It is an active stratovolcano. The summit elavation is 3.429 meter and has glaciers all year
41,-122.2060291,41.29436795,-120.7729367,39.9237451, Oregon & Washinton ,Brigde of the Gods is 565 meters long and spans the Columbia River between Cascade Locks in Oregon and Washington state ,-121.9179,45.6543, On this part You'll cross the Columbia River and also the border between Oregon and Washinton. On both sides You walk in forrest. This could be a good place to stock up as you come right through the town of Casade Locks which is the biggest city You will go through,83.2 km, Segment 41/50, Images/Segment41.jpg, On this part You'll cross the Columbia River and also the border between Oregon and Washinton. On both sides You walk in forrest. This could be a good place to stock up as you come right through the town of Casade Locks which is the biggest city You will go through
42,-120.7729367,39.9237451,-120.9819731,44.47995183, Washington in Gifford Pinchot NAtional Forest,Sawtooth Mountain is a shield volcano and reach 1632 meter above sealevel ,-121.771,46.07, Trail meanders through the Indian Heaven Wilderness known for its scenic beauty characterized by lush old-growth forests a series of small alpine lakes and vibrant meadows filled with wildflowers in the spring and summer. The trail offers diverse landscapes and changing elevations that challenge and reward hikers alike.the trail progresses it passes notable natural landmarks such as Sawtooth Mountain; Bird Mountain and Lemel Rock each providing unique vistas and opportunities for wildlife observation. This area is especially popular for its striking autumn colors when the foliage transforms into brilliant hues of orange and red and yellow.,83.2 km, Segment 42/50, Images/Segment42.jpg, Now You are walkning in Gifford Pinoct National Forrest. It contains over 1.3 milion acers of green forests soaring mountains; dewy meadows; and rapid streams
43,-120.9819731,44.47995183,-121.0040931,41.68499147, Washington Through Mount Adams Wilderness, Mount Adams is also known by some Native American tribes as Pahto or Klickitat and is an active stratovolcano,-121.4879,46.2014, On this part You walk through the Mount Adams Wildersness; where the trail take you close to the mountan and the glacier. You also comme thrugh Goat Rock Wilderness and close to Gilbert Peak. Situated partly in the Goat Rocks Wilderness Gilbert Peak with 2494m is the highest summit in the Goat Rocks which are the eroded remnants of an extinct stratovolcano. Meade Glacier is located on the southeastern slopes of the peak while Conrad Glacier is on the north slope. ,83.2 km , Segment 43/50, Images/Segment43.jpg, On this part You walk through the Mount Adams Wildersness; where the trail take you close to the mountan and the glacier
44,-121.0040931,41.68499147,-118.7406261,35.49817852,  Washington through William O. doglas Wilderness, Mount Rainier is a large active stratovolcano with 4027 meters above sealevel,-121.4215,46.5138, This portion of the Pacific Crest Trail offers a breathtaking journey through regions influenced by Mount Rainier the most glaciated peak in the contiguous United States. The trail winds through the William O. Douglas and Norse Peak Wilderness areas skirting the eastern flanks of this iconic mountain known for its expansive ice fields and stunning natural beauty. Hikers encounter diverse ecosystems with subalpine wildflower meadows bursting with vibrant colors against the stark white backdrop of the glaciers and ancient forests providing a dense green canopy. The trail navigates through notable landmarks such as Norse Peak Crown Point and Pigtail Peak each offering unique vistas of Mount Rainier and the surrounding valleys., 83.2 km , Segment 44/50, Images/Segment44.jpg, Mount Rainier is the most glaciated peak in the contiguous U.S.A.; spawning five major rivers. You will see subalpine wildflower meadows ring the icy volcano while ancient forest cloaks Mount Rainiers lower slopes
45,-118.7406261,35.49817852,-121.6030659,42.04273335,  Washington through Norse Peak Wilderness,Snoqualmie Pass is due to the elevation known for the significantly lower temperature and much more snow.,-121.411,47.423,Kelly Butte Lookout is a popular destination for hikers seeking panoramic views in the Central Cascades of Washington. Situated at an elevation of 1640 m the lookout offers a stunning vista that encompasses the surrounding forested landscape and distant mountain peaks. Originally built in the 1920s and reconstructed in the 1950s. You also come thrugh Snoqualmie Pass is a vital mountain pass in the heart of the Cascade Range located approximately 50 miles east of Seattle. Sitting at an elevation of about 919 meters it is one of the most important passes in the Northwest providing the route for Interstate 90 across the mountains,83.2 km, Segment 45/50, Images/Segment45.jpg,You are walking in Norse Peak Wildernes
46,-121.6030659,42.04273335,-120.168978,39.96090822,  Washington through Alpine Wilderness ,Chimney Rock is 22355 meter above sealevel and is known for the two spikes,-121.29,47.5076, This segment of the Pacific Crest Trail traverses the Alpine Lakes Wilderness known for its rugged terrain and stunning natural beauty. The trail offers hikers majestic views of deep valleys; craggy peaks and numerous alpine lakes. Key features along this section include challenging climbs and the scenic Chimney Rock providing an enriching wilderness experience in the heart of Washington's Cascade Range. You go thurg Henry M. Jackson Wilderness that covers 41803 ha. The Henry M. Jackson Wilderness was created by the 1984 Washington Wilderness Act and named after former U.S. Senator Henry M. Jackson of Washington. Senator Jackson was instrumental in the designation of many of the state's wildernesses. The terrain is rugged with steep slopes and finger ridges dissected by small intermittent or permanent drainages. Streams in the northern portion of this area drain into the Sauk River while the southern portion drains into the Skykomish River. , 83.2 km, Segment 46/50, Images/Segment46.jpg, You go thrugh Snoqualmie is best known as the home of Snoqualmie Falls- a breathtaking waterfall cascading 81.6 meter over granite cliffs. Snoqualmie Falls is the second most visited natural landmark in Washington after Mount Rainier. It is more than twice as high as Niagara Falls! 
47,-120.168978,39.96090822,-117.7005774,35.63222932,  Washington through Okanogan-Wenatchee National Forest, Mount David is 2260 meters high located in Chelan County,-120.9886,47.9631, On this Segment you can see Mount David is a prominent 2260 metres mountain summit located in Chelan County of Washington state. The mountain is situated in the Glacier Peak Wilderness on land managed by the Okanogan-Wenatchee National Forest. , 83.2 km , Segment 47/50, Images/Segment47.jpg,You are walking in Alpine Lake Wildernes
48,-117.7005774,35.63222932,-117.7006807,35.68607544, Northern Washington through Glacier Peak Wilderness ,Glacier Peak is a volcano formed during the Pleistocene epoch about one million years ago,-121.0651,48.0643, You are walking in the north and meeting several glaciers including Kennedy Peak and Glacier Peak which is 3213 meters. Glacier Peak is the fourth highest peak in Washington and features prominently in the skyline. It offers dramatic scenery with a rugged less-traveled feel and several glaciers including the White Chuck Kennedy and Suiattle glaciers. Surrounding Glacier Peak is the Glacier Peak Wilderness spanning approximately 229075 ha. This wilderness area designated in 1964 is known for its steep rugged terrain mountainous landscapes lush old-growth forests and alpine lakes. It protects the upper drainage basin of the Sauk Suiattle and White Chuck Rivers vital for the region's ecosystem. The area offers challenging backpacking trips mountaineering and scenic vistas with minimal human disturbance. ,83.2 km ,  Segment 48/50, Images/Segment48.jpg, You are walking in the north and meeting several glaciers including Kennedy Peak and Glacier Peak
49,-117.7006807,35.68607544,-118.0872025,35.19240112, Northern Washington through Glacier Peak Wilderness, Black Peak is the 20th highest peak in Washinton,-120.81575,48.52341,This regions characterized by high alpine peaks and remote wilderness areas. The trail covers challenging terrain that offers breathtaking views and a true backcountry experience.The first image depicts the trail as it meanders through areas near Bonanza Peak and Mount Fernow and the Lake Chelan National Recreation Area areas known for their rugged peaks and extensive wilderness. This section includes significant elevation changes as it passes near prominent features like Goode Mountain and Black Peak providing dramatic vistas and opportunities for advanced hiking and mountaineering.,83.2 km , Segment 49/50, Images/Segment49.jpg, In theese segments the trail cover some of the most challenging and rewarding terrain of the PCT; culminating in the alpine glory of the North Cascades
50,-118.0872025,35.19240112,-121.3794886,47.0791355, Northern Washington & Canada Border , Northern Terminus is on the U.S./Canada border in Pasayten Wilderness next to E.C. Manning Provincial Park,-120.7745,49.053, This is the most northly part of the trail. You will be able to see mount Winthrop with is 2393 meters summit it is located in Okanogan County of Washington state. The Northern Terminus is is located at the border between the United States and Canada near Manning Park in British Columbia. This endpoint is marked by a simple wooden monument symbolizing the culmination of an epic 4690 kilometer journey that spans from Mexico through California to Oregon and Washington or making the start of the trail and journey you are about to start from this point.,83.2 km, Segment 50/50, Images/Segment50.jpg, This is the most northly part of the trail
